"","FILM","Rating","Rating_site"
"494","Black or White (2015)",3.95,"Metacritic"
"495","Project Almanac (2015)",2.7,"Metacritic"
"496","Ricki and the Flash (2015)",3.5,"Metacritic"
"497","Seventh Son (2015)",1.95,"Metacritic"
"498","Mortdecai (2015)",1.6,"Metacritic"
"499","Unfinished Business (2015)",1.9,"Metacritic"
"500","American Ultra (2015)",3.4,"Metacritic"
"501","True Story (2015)",2.85,"Metacritic"
"502","Child 44 (2015)",2.65,"Metacritic"
"503","Dark Places (2015)",3.95,"Metacritic"
"504","Birdman (2014)",4,"Metacritic"
"505","The Gift (2015)",4.15,"Metacritic"
"506","Unfriended (2015)",2.9,"Metacritic"
"507","Monkey Kingdom (2015)",3.75,"Metacritic"
"508","Mr. Turner (2014)",3.3,"Metacritic"
"509","Seymour: An Introduction (2015)",3,"Metacritic"
"510","The Wrecking Crew (2015)",3.5,"Metacritic"
"511","American Sniper (2015)",3.3,"Metacritic"
"512","Furious 7 (2015)",3.4,"Metacritic"
"513","The Hobbit: The Battle of the Five Armies (2014)",3.5,"Metacritic"
"514","San Andreas (2015)",2.75,"Metacritic"
"515","Straight Outta Compton (2015)",3.65,"Metacritic"
"516","Vacation (2015)",3.1,"Metacritic"
"517","Chappie (2015)",3.7,"Metacritic"
"518","Poltergeist (2015)",1.85,"Metacritic"
"519","Paper Towns (2015)",3.1,"Metacritic"
"520","Big Eyes (2014)",3.75,"Metacritic"
"521","Blackhat (2015)",2.7,"Metacritic"
"522","Self/less (2015)",4.2,"Metacritic"
"523","Sinister 2 (2015)",2.5,"Metacritic"
"524","Little Boy (2015)",2.95,"Metacritic"
"525","Me and Earl and The Dying Girl (2015)",4.2,"Metacritic"
"526","Maggie (2015)",3.25,"Metacritic"
"527","Mad Max: Fury Road (2015)",4.35,"Metacritic"
"528","Spy (2015)",3.15,"Metacritic"
"529","The SpongeBob Movie: Sponge Out of Water (2015)",3.25,"Metacritic"
"530","Paddington (2015)",4.1,"Metacritic"
"531","Dope (2015)",3.6,"Metacritic"
"532","What We Do in the Shadows (2015)",4.15,"Metacritic"
"533","The Overnight (2015)",4.3,"Metacritic"
"534","The Salt of the Earth (2015)",3.9,"Metacritic"
"535","Song of the Sea (2014)",4.1,"Metacritic"
"536","Fifty Shades of Grey (2015)",1.6,"Metacritic"
"537","Get Hard (2015)",1.9,"Metacritic"
"538","Focus (2015)",3.1,"Metacritic"
"539","Jupiter Ascending (2015)",2.25,"Metacritic"
"540","The Gallows (2015)",3.5,"Metacritic"
"541","The Second Best Exotic Marigold Hotel (2015)",3.05,"Metacritic"
"542","Strange Magic (2015)",2.65,"Metacritic"
"543","The Gunman (2015)",2.15,"Metacritic"
"544","Hitman: Agent 47 (2015)",1.65,"Metacritic"
"545","Cake (2015)",3.2,"Metacritic"
"546","The Vatican Tapes (2015)",2.7,"Metacritic"
"547","A Little Chaos (2015)",3.5,"Metacritic"
"548","The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015)",2.3,"Metacritic"
"549","Escobar: Paradise Lost (2015)",3.45,"Metacritic"
"550","Into the Woods (2014)",3.05,"Metacritic"
"551","It Follows (2015)",3.75,"Metacritic"
"552","Inherent Vice (2014)",3.7,"Metacritic"
"553","A Most Violent Year (2014)",3.5,"Metacritic"
"554","While We're Young (2015)",3.35,"Metacritic"
"555","Clouds of Sils Maria (2015)",3.55,"Metacritic"
"556","Testament of Youth (2015)",3.95,"Metacritic"
"557","Infinitely Polar Bear (2015)",3.95,"Metacritic"
"558","Phoenix (2015)",4,"Metacritic"
"559","The Wolfpack (2015)",3.5,"Metacritic"
"560","The Stanford Prison Experiment (2015)",4.25,"Metacritic"
"561","Tangerine (2015)",3.65,"Metacritic"
"562","Magic Mike XXL (2015)",2.7,"Metacritic"
"563","Home (2015)",3.65,"Metacritic"
"564","The Wedding Ringer (2015)",1.65,"Metacritic"
"565","Woman in Gold (2015)",3.6,"Metacritic"
"566","The Last Five Years (2015)",3.45,"Metacritic"
"567","Mission: Impossible â€“ Rogue Nation (2015)",4,"Metacritic"
"568","Amy (2015)",4.4,"Metacritic"
"569","Jurassic World (2015)",3.5,"Metacritic"
"570","Minions (2015)",2.85,"Metacritic"
"571","Max (2015)",2.95,"Metacritic"
"572","Paul Blart: Mall Cop 2 (2015)",1.2,"Metacritic"
"573","The Longest Ride (2015)",2.4,"Metacritic"
"574","The Lazarus Effect (2015)",2.45,"Metacritic"
"575","The Woman In Black 2 Angel of Death (2015)",2.2,"Metacritic"
"576","Danny Collins (2015)",3.55,"Metacritic"
"577","Spare Parts (2015)",3.55,"Metacritic"
"578","Serena (2015)",2.65,"Metacritic"
"579","Inside Out (2015)",4.45,"Metacritic"
"580","Mr. Holmes (2015)",3.95,"Metacritic"
"581","'71 (2015)",3.75,"Metacritic"
"582","Two Days, One Night (2014)",4.4,"Metacritic"
"583","Gett: The Trial of Viviane Amsalem (2015)",3.65,"Metacritic"
"584","Kumiko, The Treasure Hunter (2015)",3.2,"Metacritic"
